wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                
{'loss': 41600.0, 'learning_rate': 3.7725725642960047e-06, 'loss_full': 41344.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.415283203125, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 43264.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 19904.0, 'learning_rate': 3.6129854561907786e-06, 'loss_full': 19296.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.1336669921875, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 42880.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 169472.0, 'learning_rate': 3.4549150281252635e-06, 'loss_full': 170496.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.0830078125, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 12692.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 89216.0, 'learning_rate': 3.298534127791785e-06, 'loss_full': 87424.0, 'loss_slot_feat': 0.0025787353515625, 'loss_slot_attn': 0.19970703125, 'loss_stop': -0.935546875, 'loss_div': 0.0, 'loss_inpaint': 18083.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 45464.0, 'learning_rate': 3.1440137554088957e-06, 'loss_full': 45356.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.07763671875, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 2040.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 7656.0, 'learning_rate': 2.991522876735154e-06, 'loss_full': 7804.0, 'loss_slot_feat': 0.0027008056640625, 'loss_slot_attn': 0.08984375, 'loss_stop': -0.8828125, 'loss_div': 0.0, 'loss_inpaint': 5717.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 31200.0, 'learning_rate': 2.8412282383075362e-06, 'loss_full': 30592.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.1187744140625, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 35776.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 20975.0, 'learning_rate': 2.693294185106562e-06, 'loss_full': 21438.0, 'loss_slot_feat': 0.0025787353515625, 'loss_slot_attn': 0.3720703125, 'loss_stop': -0.923828125, 'loss_div': 0.0, 'loss_inpaint': 47480.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 2723.0, 'learning_rate': 2.5478824808474613e-06, 'loss_full': 2732.0, 'loss_slot_feat': 0.00264739990234375, 'loss_slot_attn': 0.2119140625, 'loss_stop': -0.876953125, 'loss_div': 0.0, 'loss_inpaint': 4908.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 25573.75, 'learning_rate': 2.4051521310939258e-06, 'loss_full': 26852.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.074462890625, 'loss_stop': -0.873046875, 'loss_div': 0.0, 'loss_inpaint': 71168.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 69456.0, 'learning_rate': 2.265259209387867e-06, 'loss_full': 70336.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.432861328125, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 3899.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 26852.0, 'learning_rate': 2.1283566865852824e-06, 'loss_full': 24656.0, 'loss_slot_feat': 0.00267791748046875, 'loss_slot_attn': 2.2578125, 'loss_stop': -0.861328125, 'loss_div': 0.0, 'loss_inpaint': 48128.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 6894.0, 'learning_rate': 1.9945942635848745e-06, 'loss_full': 6936.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.319091796875, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 120256.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 46016.0, 'learning_rate': 1.864118207632315e-06, 'loss_full': 46080.0, 'loss_slot_feat': 0.00263214111328125, 'loss_slot_attn': 0.9464111328125, 'loss_stop': -0.8671875, 'loss_div': 0.0, 'loss_inpaint': 46208.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 6632.0, 'learning_rate': 1.7370711923791567e-06, 'loss_full': 6712.0, 'loss_slot_feat': 0.002685546875, 'loss_slot_attn': 1.10546875, 'loss_stop': -0.875, 'loss_div': 0.0, 'loss_inpaint': 175248.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
