image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
1268,10,1,7,near_2_4,85,0.005836362484842539,0.0969170406460762
1268,10,1,7,mid_5_8,189,0.002054759068414569,0.057160891592502594
1268,10,1,7,far_gt8,699,0.00044103420805186033,0.026311591267585754
1268,10,1,8,inside,23,0.5153059959411621,1.010520100593567
1268,10,1,8,ring_1,28,0.09965265542268753,0.41355207562446594
1268,10,1,8,near_2_4,85,0.007279531564563513,0.10641176253557205
1268,10,1,8,mid_5_8,189,0.002818523906171322,0.0651916116476059
1268,10,1,8,far_gt8,699,0.0006128483219072223,0.03135232999920845
1268,10,1,9,inside,23,0.5047478675842285,0.9991501569747925
1268,10,1,9,ring_1,28,0.10559170693159103,0.4285983741283417
1268,10,1,9,near_2_4,85,0.010033953934907913,0.12049353867769241
1268,10,1,9,mid_5_8,189,0.004485392011702061,0.07611819356679916
1268,10,1,9,far_gt8,699,0.0008896198123693466,0.03652677685022354
1268,10,1,10,inside,23,0.5254896283149719,1.020157814025879
1268,10,1,10,ring_1,28,0.11653313785791397,0.44588717818260193
1268,10,1,10,near_2_4,85,0.012630016542971134,0.130638986825943
1268,10,1,10,mid_5_8,189,0.006618821993470192,0.08552253246307373
1268,10,1,10,far_gt8,699,0.0010972705204039812,0.04010453075170517
1268,10,1,11,inside,23,0.550084114074707,1.0442405939102173
1268,10,1,11,ring_1,28,0.1393149048089981,0.48340901732444763
1268,10,1,11,near_2_4,85,0.014632325619459152,0.14222070574760437
1268,10,1,11,mid_5_8,189,0.008590050972998142,0.09536182135343552
1268,10,1,11,far_gt8,699,0.001450911397114396,0.04501922428607941
1268,10,1,12,inside,23,0.572813868522644,1.0650732517242432
1268,10,1,12,ring_1,28,0.15341699123382568,0.5043321251869202
1268,10,1,12,near_2_4,85,0.01790066622197628,0.15638604760169983
1268,10,1,12,mid_5_8,189,0.010459487326443195,0.10739704966545105
1268,10,1,12,far_gt8,699,0.0021100668236613274,0.054044533520936966
1268,10,1,13,inside,23,0.5796647071838379,1.0702311992645264
1268,10,1,13,ring_1,28,0.18108642101287842,0.5465877056121826
1268,10,1,13,near_2_4,85,0.023084117099642754,0.17475849390029907
1268,10,1,13,mid_5_8,189,0.014090310782194138,0.12259605526924133
1268,10,1,13,far_gt8,699,0.002719165524467826,0.05939442291855812
1268,10,1,14,inside,23,0.5879787802696228,1.0778019428253174
1268,10,1,14,ring_1,28,0.19273461401462555,0.5629745721817017
1268,10,1,14,near_2_4,85,0.031217163428664207,0.19250008463859558
1268,10,1,14,mid_5_8,189,0.020147664472460747,0.14061731100082397
1268,10,1,14,far_gt8,699,0.004201526287943125,0.06982842087745667
1268,10,1,15,inside,23,0.6645734310150146,1.1441270112991333
1268,10,1,15,ring_1,28,0.2217998504638672,0.6039373278617859
1268,10,1,15,near_2_4,85,0.04183819144964218,0.21745020151138306
1268,10,1,15,mid_5_8,189,0.028172587975859642,0.15864956378936768
1268,10,1,15,far_gt8,699,0.00526405218988657,0.07563447952270508
1268,10,1,16,inside,23,0.6968438625335693,1.1716337203979492
1268,10,1,16,ring_1,28,0.23882773518562317,0.627477765083313
1268,10,1,16,near_2_4,85,0.04699400067329407,0.22737330198287964
1268,10,1,16,mid_5_8,189,0.0330270379781723,0.17105045914649963
1268,10,1,16,far_gt8,699,0.006385271903127432,0.0835966244339943
1268,10,1,17,inside,23,0.7240030169487,1.1949687004089355
1268,10,1,17,ring_1,28,0.24464713037014008,0.634222686290741
1268,10,1,17,near_2_4,85,0.05178288370370865,0.23669913411140442
1268,10,1,17,mid_5_8,189,0.036213066428899765,0.18009920418262482
1268,10,1,17,far_gt8,699,0.007314491551369429,0.08903591334819794
1268,10,1,18,inside,23,0.7431640028953552,1.2104097604751587
1268,10,1,18,ring_1,28,0.27240806818008423,0.6661408543586731
1268,10,1,18,near_2_4,85,0.05821622535586357,0.2494441121816635
1268,10,1,18,mid_5_8,189,0.04029848054051399,0.1895522028207779
1268,10,1,18,far_gt8,699,0.008464908227324486,0.09404782205820084
1268,10,1,19,inside,23,0.7798721194267273,1.2394620180130005
1268,10,1,19,ring_1,28,0.2844141125679016,0.683467447757721
1268,10,1,19,near_2_4,85,0.06500953435897827,0.26747894287109375
1268,10,1,19,mid_5_8,189,0.04611150547862053,0.20609429478645325
1268,10,1,19,far_gt8,699,0.01006496511399746,0.10342060029506683
1268,10,1,20,inside,23,0.7697920799255371,1.231258511543274
1268,10,1,20,ring_1,28,0.28888100385665894,0.6880730390548706
1268,10,1,20,near_2_4,85,0.07242332398891449,0.2815232574939728
1268,10,1,20,mid_5_8,189,0.052688807249069214,0.21946413815021515
1268,10,1,20,far_gt8,699,0.014645926654338837,0.11906897276639938
1268,10,1,21,inside,23,0.7353009581565857,1.2035889625549316
1268,10,1,21,ring_1,28,0.28163671493530273,0.6789820790290833
1268,10,1,21,near_2_4,85,0.07252543419599533,0.2851458489894867
1268,10,1,21,mid_5_8,189,0.054242245852947235,0.225724995136261
1268,10,1,21,far_gt8,699,0.016184568405151367,0.12628164887428284
1268,10,1,22,inside,23,0.7080026865005493,1.1806495189666748
1268,10,1,22,ring_1,28,0.27237001061439514,0.6663148999214172
1268,10,1,22,near_2_4,85,0.07253447920084,0.2864646315574646
1268,10,1,22,mid_5_8,189,0.0538337379693985,0.22838537395000458
1268,10,1,22,far_gt8,699,0.017651062458753586,0.13162080943584442
1268,10,1,23,inside,23,0.6710324287414551,1.1496028900146484
1268,10,1,23,ring_1,28,0.25992923974990845,0.6507750153541565
1268,10,1,23,near_2_4,85,0.07933159172534943,0.2966669499874115
1268,10,1,23,mid_5_8,189,0.05845162644982338,0.23628748953342438
1268,10,1,23,far_gt8,699,0.02022923156619072,0.139510840177536
1268,10,1,24,inside,23,0.6663655042648315,1.1444823741912842
1268,10,1,24,ring_1,28,0.26511213183403015,0.6577417254447937
1268,10,1,24,near_2_4,85,0.08652390539646149,0.31044548749923706
1268,10,1,24,mid_5_8,189,0.06326749920845032,0.2461831271648407
1268,10,1,24,far_gt8,699,0.023893307894468307,0.1516362428665161
1268,10,1,25,inside,23,0.6141536235809326,1.0989632606506348
1268,10,1,25,ring_1,28,0.2570534646511078,0.6478832960128784
1268,10,1,25,near_2_4,85,0.08941623568534851,0.31693074107170105
1268,10,1,25,mid_5_8,189,0.06748227030038834,0.2543453574180603
1268,10,1,25,far_gt8,699,0.029708916321396828,0.1643429696559906
1268,10,1,26,inside,23,0.627530574798584,1.110059380531311
1268,10,1,26,ring_1,28,0.2663730978965759,0.6639693975448608
1268,10,1,26,near_2_4,85,0.09584726393222809,0.33462047576904297
1268,10,1,26,mid_5_8,189,0.07256338000297546,0.2712857127189636
1268,10,1,26,far_gt8,699,0.03451727330684662,0.1827968955039978
1268,10,1,27,inside,23,0.7056945562362671,1.1769654750823975
1268,10,1,27,ring_1,28,0.29482975602149963,0.698499858379364
