image_id,variant,foreground_mse,background_mse,foreground_psnr,background_psnr
22192,R1_post_siglip_register_only,0.08046922087669373,0.08198937028646469,10.943702697753906,10.862424850463867
22192,pre_siglip_masked_register_only,0.10493483394384384,0.07299827039241791,9.790802955627441,11.366874694824219
22192,RAE_self_only,0.03563989698886871,0.14992906153202057,14.480636596679688,8.241142272949219
22192,hybrid_original_OVT_masked_register,0.08708614110946655,0.07208529859781265,10.600509643554688,11.421533584594727
27932,R0_unrestricted,0.0718812420964241,0.12809859216213226,11.433844566345215,8.924556732177734
27932,R1_post_siglip_all,0.07063205540180206,0.12768961489200592,11.509981155395508,8.938445091247559
27932,R1_post_siglip_register_only,0.07727646827697754,0.11880407482385635,11.119526863098145,9.251687049865723
27932,pre_siglip_masked_register_only,0.08280359208583832,0.1257283091545105,10.819509506225586,9.005669593811035
27932,RAE_self_only,0.0636497363448143,0.08980920165777206,11.962034225463867,10.466791152954102
27932,hybrid_original_OVT_masked_register,0.07804424315690994,0.1343797743320465,11.076591491699219,8.716660499572754
31749,R0_unrestricted,0.162471204996109,0.22353419661521912,7.892236232757568,6.506560325622559
31749,R1_post_siglip_all,0.15475545823574066,0.22212371230125427,8.103540420532227,6.534050941467285
31749,R1_post_siglip_register_only,0.1292058676481247,0.20398563146591187,8.887178421020508,6.904004096984863
31749,pre_siglip_masked_register_only,0.17446939647197723,0.2211826592683792,7.582807540893555,6.552489280700684
31749,RAE_self_only,0.1835455447435379,0.2252301424741745,7.3625617027282715,6.4737348556518555
31749,hybrid_original_OVT_masked_register,0.1399007886648178,0.20502743124961853,8.54179859161377,6.881880760192871
34205,R0_unrestricted,0.09936469793319702,0.11197871714830399,10.027679443359375,9.508646011352539
34205,R1_post_siglip_all,0.11033622175455093,0.11226653307676315,9.572818756103516,9.497496604919434
34205,R1_post_siglip_register_only,0.15115126967430115,0.11277958005666733,8.20588207244873,9.47769546508789
34205,pre_siglip_masked_register_only,0.19256336987018585,0.11382746696472168,7.154263973236084,9.437529563903809
34205,RAE_self_only,0.07045236229896545,0.09748496860265732,11.521044731140137,10.110624313354492
34205,hybrid_original_OVT_masked_register,0.17637909948825836,0.1133752390742302,7.535528659820557,9.454817771911621
46804,R0_unrestricted,0.09960906952619553,0.07720039784908295,10.017011642456055,11.123805046081543
46804,R1_post_siglip_all,0.09654843062162399,0.07067342847585678,10.152548789978027,11.507438659667969
46804,R1_post_siglip_register_only,0.14032256603240967,0.0700189545750618,8.528725624084473,11.547842979431152
46804,pre_siglip_masked_register_only,0.0613778717815876,0.052241116762161255,12.119882583618164,12.819875717163086
46804,RAE_self_only,0.23583047091960907,0.044308461248874664,6.274001121520996,13.535133361816406
46804,hybrid_original_OVT_masked_register,0.08463137596845627,0.07087133824825287,10.724686622619629,11.495294570922852
48924,R0_unrestricted,0.07364814728498459,0.06043871119618416,11.32838249206543,12.186847686767578
48924,R1_post_siglip_all,0.0741664245724678,0.06138583645224571,11.297926902770996,12.119318008422852
48924,R1_post_siglip_register_only,0.078520767390728,0.05956413596868515,11.050155639648438,12.250151634216309
48924,pre_siglip_masked_register_only,0.047299351543188095,0.07274530827999115,13.251448631286621,11.381950378417969
48924,RAE_self_only,0.032894913107156754,0.048298466950654984,14.828712463378906,13.160666465759277
48924,hybrid_original_OVT_masked_register,0.03765985742211342,0.0720854178071022,14.24121379852295,11.421526908874512
50165,R0_unrestricted,0.09109469503164291,0.04721144214272499,10.405069351196289,13.259527206420898
50165,R1_post_siglip_all,0.09022631496191025,0.0492146760225296,10.446667671203613,13.079052925109863
50165,R1_post_siglip_register_only,0.09463275223970413,0.048079319298267365,10.239585876464844,13.18041706085205
50165,pre_siglip_masked_register_only,0.10902592539787292,0.028843529522418976,9.624702453613281,15.399517059326172
50165,RAE_self_only,0.08700103312730789,0.09863618016242981,10.604757308959961,10.059638023376465
50165,hybrid_original_OVT_masked_register,0.11047262698411942,0.03568023070693016,9.567453384399414,14.475723266601562
